Fips,Name,Temp,Rank,Past Mean,,,,,,
13299,Custer County,60.2,127,50.7,,,,,,
13301,Elmore County,69.4,127,60.1,,,,,,
13303,Franklin County,67.5,127,58.2,,,,,,
13305,Fremont County,62.2,127,54.7,,,,,,
13307,Gem County,71.3,126,63.1,,,,,,
13309,Gooding County,73.4,127,62.8,,,,,,
13311,Idaho County,60.4,126,53.3,,,,,,
13313,Jefferson County,67.9,127,59.8,,,,,,
13315,Jerome County,72.9,127,62.7,,,,,,
13317,Kootenai County,65,126,57.7,,,,,,
13319,Latah County,65,126,57.8,,,,,,
13321,Lemhi County,61.6,127,52,,,,,,
15001,Lewis County,64.3,126,57,,,,,,
15003,Lincoln County,72,127,60.9,,,,,,
15007,Madison County,65.8,127,57.7,,,,,,
15009,Minidoka County,71,127,61.1,,,,,,
16001,Nez Perce County,69,127,60.6,,,,,,
16003,Oneida County,70,127,60,,,,,,
16005,Owyhee County,68.9,127,60.5,,,,,,
16007,Payette County,74.5,127,66,,,,,,
16009,Power County,69.1,127,60.2,,,,,,
16011,Shoshone County,62,126,54.6,,,,,,
16013,Teton County,61.1,127,54,,,,,,
16015,Twin Falls County,69.8,127,60.8,,,,,,
16017,Valley County,60.1,126,51.2,,,,,,
